tier,file_count,deepvis_time,deepvis_throughput,aide_time_est,speedup
Mid (Standard),10000,9.299622535705566,1063.8066181736067,0.019903527572751045,0.0021402511227022565
Mid (Standard),50000,17.147647619247437,2470.7762219491783,0.09951763786375523,0.005803573765538039
Mid (Standard),67751,20.89666223526001,2806.28548903137,0.1348483896581456,0.00645310663205385
